id	filename	md5	size	state
7ca058c3-23bd-4f0d-8fbb-edea10463a92	7ca058c3-23bd-4f0d-8fbb-edea10463a92/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E2-A1IF-01A-11D-A145-05.txt	1a747c89c5e24713fc292c6452c2c62d	21287880	validated
8192a005-c5ab-42c6-9287-aa00cad8cac9	8192a005-c5ab-42c6-9287-aa00cad8cac9/jhu-usc.edu_BRCA.HumanMethylation450.23.lvl-3.TCGA-A7-A3RF-01A-11D-A22B-05.txt	3e64629e43c10fcffeb72a076a5cb7a4	21295013	validated
84196494-9e9c-42fb-b9b5-1242f3323c31	84196494-9e9c-42fb-b9b5-1242f3323c31/jhu-usc.edu_BRCA.HumanMethylation450.35.lvl-3.TCGA-5T-A9QA-01A-11D-A41Q-05.txt	3ad57cdf7da08be7d8530061c384eaf0	21225775	validated
85d8d46e-5206-4c07-95e0-56b22c013321	85d8d46e-5206-4c07-95e0-56b22c013321/jhu-usc.edu_BRCA.HumanMethylation450.5.lvl-3.TCGA-A2-A0YK-01A-22D-A10A-05.txt	993453bd47012b2305215f27b0232d6c	21275406	validated
86596bdd-8780-4468-a3a2-a3a4b03e1df5	86596bdd-8780-4468-a3a2-a3a4b03e1df5/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1F8-01A-11D-A13K-05.txt	fd793b3420c700f94185c9f27b14b67e	21278408	validated
8798f80c-382e-468d-a8ee-b3434be42b4a	8798f80c-382e-468d-a8ee-b3434be42b4a/jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0E0-11A-13D-A10Q-05.txt	f09fbfecb2b38aca11ff5b3af6a44d6d	21270448	validated
8b7c4fed-7ada-4586-b66b-ab485326172c	8b7c4fed-7ada-4586-b66b-ab485326172c/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-EW-A1J3-01A-11D-A13K-05.txt	bcc2425d5237113301b8ece9f1613d05	21290306	validated
90adc978-4faf-42ad-8f32-a5d2dc788bd7	90adc978-4faf-42ad-8f32-a5d2dc788bd7/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1FM-11B-23D-A13T-05.txt	2524fbb178622d221db53d3e661ebbee	21296247	validated
91b23361-d075-4f5a-9770-357c01490783	91b23361-d075-4f5a-9770-357c01490783/jhu-usc.edu_BRCA.HumanMethylation450.8.lvl-3.TCGA-BH-A0BF-01A-21D-A12R-05.txt	147f63b2c919773fe7f36527690d33c5	21277400	validated
94e47730-7e8b-4b38-a214-c9a33f5f68f3	94e47730-7e8b-4b38-a214-c9a33f5f68f3/jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-AO-A0JG-01A-31D-A10P-05.txt	611988578ed956675acab5b6b8522a48	21278642	validated
95cfba38-1b78-4caa-a0d5-6dfef7995f40	95cfba38-1b78-4caa-a0d5-6dfef7995f40/jhu-usc.edu_BRCA.HumanMethylation450.12.lvl-3.TCGA-E9-A1NH-01A-11D-A14H-05.txt	097eaff7e7ca4eb4a2d5ac7435a09047	21283076	validated
9696da0f-b157-4ffa-93e9-6282c20c1ef3	9696da0f-b157-4ffa-93e9-6282c20c1ef3/jhu-usc.edu_BRCA.HumanMethylation450.25.lvl-3.TCGA-B6-A400-01A-11D-A23D-05.txt	66d01b8b10ad095906e0034168a99147	21290520	validated
a3ea148d-ec99-4f1a-a3ed-0c54442a2d06	a3ea148d-ec99-4f1a-a3ed-0c54442a2d06/jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-E9-A1NG-01A-21D-A14N-05.txt	4abf88563f33fb51817fb3329059d2a3	21293984	validated
a5465ca9-99fd-430e-950d-1003574230b9	a5465ca9-99fd-430e-950d-1003574230b9/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-D8-A1JB-01A-11D-A13K-05.txt	06baf1de422e26ab2e877237779aeada	21276467	validated
b4ef7026-184b-4cb7-85fa-b6c951f9bfcb	b4ef7026-184b-4cb7-85fa-b6c951f9bfcb/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1FL-01A-11D-A13K-05.txt	5a7d25740e22fea662dd1e50413aecf4	21289882	validated
b7a5c0c7-6f52-422c-90b8-2aeadfca069d	b7a5c0c7-6f52-422c-90b8-2aeadfca069d/jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-E9-A228-01A-31D-A161-05.txt	32427adc7c4c4df4fbfa6fc3406f345b	21225625	validated
cfdb58f8-3861-4d12-941a-697a433b7b4f	cfdb58f8-3861-4d12-941a-697a433b7b4f/jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-AR-A24H-01A-11D-A16A-05.txt	5ab99f2587b1f3c8692765cb40ae09d2	21281063	validated
d58885af-e6f6-409b-bf11-f4167b547453	d58885af-e6f6-409b-bf11-f4167b547453/jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-D8-A1XQ-01A-11D-A14N-05.txt	d43317e5d7d6d82340d83380bd2312d8	21290697	validated
d8067d5d-229a-4990-be9f-6c2c199629f3	d8067d5d-229a-4990-be9f-6c2c199629f3/jhu-usc.edu_BRCA.HumanMethylation450.18.lvl-3.TCGA-GM-A2DK-01A-21D-A17Z-05.txt	6ebf0e40d2627c7fa8d994ce5c8e64b6	21276086	validated
db45f876-e66b-4713-82b5-1b19353bb771	db45f876-e66b-4713-82b5-1b19353bb771/jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-AO-A0JI-01A-21D-A10P-05.txt	1d8c53a072e4b7aeaf21652fa5a9404c	21257218	validated
dc5fcafd-b81a-47cf-a1b4-9ba9346d6e41	dc5fcafd-b81a-47cf-a1b4-9ba9346d6e41/jhu-usc.edu_BRCA.HumanMethylation450.29.lvl-3.TCGA-AC-A5XS-01A-11D-A29O-05.txt	d0da6e08e59f11fc0015be362ababae8	21281528	validated
e138354f-715f-4617-87b0-691c58dce160	e138354f-715f-4617-87b0-691c58dce160/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E9-A1N8-11A-42D-A145-05.txt	6c0c0f3a00c9e3698de49090f6e47d2e	21294545	validated
e617e85e-22b9-4fcb-81ce-4e97613a065a	e617e85e-22b9-4fcb-81ce-4e97613a065a/jhu-usc.edu_BRCA.HumanMethylation450.35.lvl-3.TCGA-PL-A8LV-01A-21D-A41Q-05.txt	b7f5445ac7b8696809a7e24b31c64f48	21287563	validated
ecf21ed1-42b6-41d0-840f-20fbc8d9bff0	ecf21ed1-42b6-41d0-840f-20fbc8d9bff0/jhu-usc.edu_BRCA.HumanMethylation450.4.lvl-3.TCGA-AR-A0TV-01A-21D-A10P-05.txt	7a736898496849a081f6baf4441a317c	21257862	validated
